EmployeeID,Age,Gender,EducationLevel,YearsOfExperience,JobRole,SkillsScore,Certifications,CompanyType,WorkHoursPerWeek,Salary
1,50,Male,Bachelor,10,Data Analyst,10,6,Medium Scale,58,107796
2,36,Female,Master,29,Manager,7,1,Medium Scale,38,200834
3,29,Male,Master,21,Data Analyst,6,6,Startup,54,158565
4,42,Female,Master,28,Data Scientist,10,3,Startup,52,208739
5,40,Male,Bachelor,3,Data Scientist,5,3,MNC,59,85689
6,44,Female,PhD,21,Developer,1,4,MNC,37,164289
7,32,Female,Bachelor,19,Developer,2,7,MNC,38,134972
8,32,Female,Master,19,Manager,8,0,MNC,48,164976
9,45,Female,Master,14,Data Analyst,1,6,Startup,41,124357
10,57,Female,Bachelor,3,Designer,3,3,Medium Scale,42,64994
11,45,Female,Bachelor,8,Developer,2,5,Medium Scale,58,93385
12,24,Male,Master,6,Designer,5,1,Medium Scale,50,85651
13,43,Female,Master,18,Designer,4,5,MNC,54,138590
14,23,Male,Master,18,Data Analyst,7,2,Startup,49,150106
15,45,Male,Bachelor,5,Manager,5,6,Startup,41,99660
16,51,Female,Master,5,Data Analyst,8,4,Startup,51,97456
17,59,Male,Master,19,Developer,4,1,Medium Scale,56,145159
18,23,Female,PhD,14,Designer,6,4,MNC,56,142138
19,42,Male,Bachelor,14,Data Analyst,4,0,Startup,56,108776
20,54,Female,PhD,24,Data Analyst,2,3,MNC,46,176628
21,33,Male,PhD,19,Data Analyst,1,7,Startup,52,156533
22,43,Female,Master,8,Developer,1,1,MNC,58,90829
23,46,Female,Bachelor,3,Manager,8,2,Startup,48,93201
24,48,Female,Master,17,Data Analyst,4,7,MNC,49,142937
25,49,Female,Bachelor,17,Developer,5,6,Startup,49,131968
26,37,Male,PhD,4,Designer,8,0,Startup,39,108978
27,36,Female,Bachelor,19,Data Scientist,7,0,MNC,50,150346
28,24,Male,Master,22,Developer,8,4,MNC,39,160454
29,58,Male,Master,29,Data Scientist,8,0,Medium Scale,36,205414
30,28,Male,Master,10,Data Analyst,6,1,MNC,54,116082
31,42,Female,Bachelor,4,Data Analyst,10,4,Startup,59,96287
32,30,Male,PhD,21,Developer,2,7,Startup,43,173939
33,39,Male,PhD,25,Data Scientist,6,0,MNC,56,195075
34,25,Male,Bachelor,3,Data Analyst,1,6,Medium Scale,43,73600
35,46,Female,Master,28,Designer,1,7,MNC,38,175677
36,35,Female,PhD,11,Manager,3,2,Startup,49,143737
37,30,Male,Master,1,Manager,3,6,Startup,45,91590
38,47,Female,Bachelor,12,Data Analyst,5,5,Medium Scale,35,108115
39,23,Female,Master,9,Data Scientist,1,1,MNC,52,110181
40,41,Male,PhD,8,Data Analyst,10,2,Startup,35,131355
41,49,Male,PhD,9,Data Scientist,6,2,Startup,42,132659
42,28,Female,Master,6,Designer,7,4,Startup,59,98286
43,29,Male,Bachelor,3,Data Scientist,10,3,MNC,50,94653
44,56,Female,Master,18,Data Analyst,3,4,MNC,56,143648
45,35,Female,Bachelor,9,Designer,4,1,Medium Scale,52,85562
46,38,Female,Master,29,Developer,10,1,Startup,56,189656
47,57,Female,PhD,2,Manager,10,4,Startup,43,118677
48,25,Female,Bachelor,24,Data Analyst,10,3,Medium Scale,46,174408
49,23,Female,Bachelor,20,Data Analyst,10,6,Startup,53,160190
50,27,Male,Bachelor,28,Data Analyst,10,4,Medium Scale,59,195565
51,25,Male,PhD,18,Designer,3,1,Medium Scale,52,148675
52,50,Female,Master,20,Developer,1,3,Startup,39,146212
53,39,Female,PhD,1,Data Scientist,8,1,MNC,36,102035
54,47,Female,Bachelor,26,Developer,10,3,MNC,41,176324
55,55,Male,Master,19,Designer,10,3,MNC,44,158547
56,31,Female,PhD,9,Data Analyst,2,7,MNC,49,122765
